tD,tR_over_tD,time,samples,odd_mean,odd_stderr,even_mean,even_stderr,max_bond_dimension,mean_cumulative_jumps
0.98,1.02040816327,0.25,32,0.02149277989661775,0.000217414684303633,0.06006602541874057,0.0002827486708999466,100,0.09375
0.98,1.02040816327,0.3,32,0.0214689061985746,0.0002150702108836112,0.05998809724479018,0.0002765122342854048,100,0.09375
0.98,1.02040816327,0.35,32,0.02144297058319233,0.0002143993672602451,0.05990152494865089,0.000265013850263842,100,0.09375
0.98,1.02040816327,0.4,32,0.02108471763613598,0.000312964000411559,0.06009852684386117,0.0003221864178937917,100,0.15625
0.98,1.02040816327,0.45,32,0.02104725473027403,0.0003139363644224337,0.05998079427688669,0.0003093911898597653,100,0.15625
0.98,1.02040816327,0.5,32,0.02092579743773074,0.0003206523461125347,0.05991811775320879,0.000310804892564066,100,0.1875
0.98,1.02040816327,0,64,0.02163772651773255,4.371092296095392e-19,0.06025784985001688,5.24531075531447e-18,100,0
0.98,1.02040816327,0.05,64,0.02154707293176889,5.613029836770136e-05,0.06035474307632888,0.0001173115743832495,100,0.03125
0.98,1.02040816327,0.1,64,0.02197587194058447,0.0004983276070557099,0.06016843023369045,0.0002538687370806346,100,0.09375
0.98,1.02040816327,0.15,64,0.02195171110565108,0.0004977681975346725,0.06011519407447045,0.0002560522554290335,100,0.09375
0.98,1.02040816327,0.2,64,0.02192747801798969,0.0004981959354603771,0.06005296229476067,0.0002562703909701417,100,0.09375
0.98,1.02040816327,0.25,64,0.02243348437971783,0.0006963477600487381,0.05988506042255183,0.0003351187192232045,100,0.15625
0.98,1.02040816327,0.3,64,0.02240696960603503,0.0006963838403843131,0.05980391934911794,0.0003328014340508272,100,0.15625
0.98,1.02040816327,0.35,64,0.02236722634204169,0.0006967791381957485,0.0598079459295791,0.0003418348046422492,100,0.171875
0.98,1.02040816327,0.4,64,0.02220210661986386,0.0007192062110538106,0.0600523802238199,0.0004524834632109034,100,0.25
0.98,1.02040816327,0.45,64,0.02215145791250522,0.0007153694474616732,0.05994584952276771,0.0004540980149584165,100,0.25
0.98,1.02040816327,0.5,64,0.0216328093022713,0.0007813815450075252,0.05952209753987873,0.0003798652659376486,100,0.28125
0.99,1.0101010101,0,4,0.02948833845319166,0,0.04996164346306375,0,100,0
0.99,1.0101010101,0.05,4,0.02945329134224947,0,0.04990268914249246,0,100,0
0.99,1.0101010101,0.1,4,0.02941912142064316,0,0.04984455108316378,0,100,0
0.99,1.0101010101,0.15,4,0.02938526398311966,0,0.04978659906421937,0,100,0
0.99,1.0101010101,0.2,4,0.02935174874488268,0,0.04972880050953249,0,100,0
0.99,1.0101010101,0.25,4,0.02931834796008169,0,0.04967099706261135,0,100,0
0.99,1.0101010101,0.3,4,0.02928453297074141,0,0.04961285220706592,0,100,0
0.99,1.0101010101,0.35,4,0.02924936369519888,0,0.04955335378700799,0,100,0
0.99,1.0101010101,0.4,4,0.02772516764990306,0.001486015392211125,0.05059527954365289,0.001105777030651008,100,0.25
0.99,1.0101010101,0.45,4,0.02771620212054482,0.001450831481520092,0.05051744342388552,0.001104106286567239,100,0.25
0.99,1.0101010101,0.5,4,0.02767532618820153,0.001436712700916154,0.05040670734651399,0.001102803842628688,100,0.25
0.99,1.0101010101,0,8,0.02948833845319166,0,0.04996164346306375,0,100,0
0.99,1.0101010101,0.05,8,0.02945329134224947,0,0.04990268914249246,0,100,0
0.99,1.0101010101,0.1,8,0.02941912142064316,1.311327688828617e-18,0.04984455108316378,2.622655377657235e-18,100,0
0.99,1.0101010101,0.15,8,0.02938526398311966,1.311327688828617e-18,0.04978659906421937,0,100,0
0.99,1.0101010101,0.2,8,0.02935174874488267,2.622655377657235e-18,0.04972880050953249,0,100,0
0.99,1.0101010101,0.25,8,0.0293183479600817,1.311327688828617e-18,0.04967099706261135,0,100,0
0.99,1.0101010101,0.3,8,0.02928453297074141,0,0.04961285220706591,2.622655377657235e-18,100,0
0.99,1.0101010101,0.35,8,0.02924936369519888,1.311327688828617e-18,0.04955335378700799,2.622655377657235e-18,100,0
0.99,1.0101010101,0.4,8,0.02846817534600862,0.0007430076961055624,0.05004239102832739,0.0005528885153255039,100,0.125
0.99,1.0101010101,0.45,8,0.02844161786130486,0.0007254157407600457,0.04996539028060189,0.0005520531432836194,100,0.125
0.99,1.0101010101,0.5,8,0.02839368253865961,0.0007183563504580768,0.04985530542519965,0.0005514019213143443,100,0.125
0.99,1.0101010101,0,16,0.02948833845319166,0,0.04996164346306375,0,100,0
0.99,1.0101010101,0.05,16,0.02945329134224949,3.583229404124381e-18,0.04990268914249248,3.583229404124381e-18,100,0
0.99,1.0101010101,0.1,16,0.02938487868569627,3.42427349468979e-05,0.05014385819646987,0.0002993071133061049,100,0.0625
0.99,1.0101010101,0.15,16,0.02935109223809941,3.417174502023598e-05,0.05011264598020367,0.0003260469159843101,100,0.0625
0.99,1.0101010101,0.2,16,0.02931706401995,3.468472493266891e-05,0.05006897086874261,0.0003401703592101302,100,0.0625
0.99,1.0101010101,0.25,16,0.02928269961463692,3.564834544477684e-05,0.05001150786215137,0.0003405107995400249,100,0.0625
0.99,1.0101010101,0.3,16,0.02924763668836176,3.68962823796544e-05,0.04993903919066296,0.0003261869835970545,100,0.0625
0.99,1.0101010101,0.35,16,0.02921097130946681,3.839238573207188e-05,0.04984997655993037,0.0002966227729223869,100,0.0625
0.99,1.0101010101,0.4,16,0.02879911358639917,0.0003710138906613615,0.05001719049305081,0.0003609490052479845,100,0.125
0.99,1.0101010101,0.45,16,0.02875990445878359,0.0003624665354888682,0.04987873577231731,0.000324164902136866,100,0.125
0.99,1.0101010101,0.5,16,0.02870030106280409,0.0003595196441652319,0.04968922813379585,0.0002898250997492622,100,0.125
0.99,1.0101010101,0,32,0.02948833845319166,0,0.04996164346306371,7.477572812058028e-18,100,0
