tD,tR_over_tD,time,samples,dt,odd_mean,odd_stderr,even_mean,even_stderr,max_bond_dimension,mean_cumulative_jumps
0.99,1.0101010101,7.9,8,0.025,0.01887210913930136,0.0008709598072438382,0.02170665148887766,0.001968735922533498,100,0.75
0.99,1.0101010101,8,8,0.025,0.01743503513103442,0.00150437394940682,0.02201140370999358,0.00187159504036847,100,0.875
0.99,1.0101010101,6,16,0.025,0.02391565869158358,0.001929800907118667,0.02854958641509562,0.003716612695190807,100,0
0.99,1.0101010101,6.1,16,0.025,0.02340771355762394,0.00178190645503404,0.02857266785222385,0.003712715602092858,100,0
0.99,1.0101010101,6.2,16,0.025,0.02273402512464316,0.001699279958983285,0.02845331693595048,0.003725344325920729,100,0
0.99,1.0101010101,6.3,16,0.025,0.02215988574287001,0.001591537832969181,0.02814130107529635,0.003692708699434054,100,0.0625
0.99,1.0101010101,6.4,16,0.025,0.02142799383010176,0.001451955986280633,0.02813428344845479,0.003719255460153223,100,0.125
0.99,1.0101010101,6.5,16,0.025,0.02040438491130884,0.001729695985697614,0.02851407647549877,0.00386819459766481,100,0.1875
0.99,1.0101010101,6.6,16,0.025,0.02033769716874944,0.001582828640685635,0.0283093225223144,0.00382636953306662,100,0.1875
0.99,1.0101010101,6.7,16,0.025,0.01897899840338542,0.001612888461543851,0.03034032890413915,0.00429915572942012,100,0.375
0.99,1.0101010101,6.8,16,0.025,0.01875668205333141,0.001521906622947272,0.02993302453806747,0.004207668949254602,100,0.4375
0.99,1.0101010101,6.9,16,0.025,0.01855184472352864,0.001472728997960818,0.02934198514470239,0.004194820780195399,100,0.5625
0.99,1.0101010101,7,16,0.025,0.01893280414113981,0.001351901110289972,0.02862933657080605,0.004034025062628351,100,0.625
0.99,1.0101010101,7.1,16,0.025,0.01899324923981307,0.001250895985165593,0.02790670171085214,0.003845015187419572,100,0.625
0.99,1.0101010101,7.2,16,0.025,0.01903863485744648,0.001142093967130404,0.02741239372007284,0.003678108064424565,100,0.625
0.99,1.0101010101,7.3,16,0.025,0.01901678523834414,0.001060172973992557,0.0270556169604972,0.003524255232532677,100,0.625
0.99,1.0101010101,7.4,16,0.025,0.018938555728971,0.001012261197071632,0.02658965915466835,0.003353701972835151,100,0.625
0.99,1.0101010101,7.5,16,0.025,0.01884103196190589,0.0009874835415982219,0.0259386692247151,0.003175320983889749,100,0.625
0.99,1.0101010101,7.6,16,0.025,0.01872194715321719,0.0009805198911876864,0.02523049785059937,0.003021144325057969,100,0.625
0.99,1.0101010101,7.7,16,0.025,0.01860239994092447,0.0009904132225357976,0.02459771745739477,0.002892560212763536,100,0.625
0.99,1.0101010101,7.8,16,0.025,0.01834416706377345,0.0009002723881485642,0.02426399313832213,0.002914562929094298,100,0.6875
0.99,1.0101010101,7.9,16,0.025,0.01828560212638293,0.0009454632374184677,0.02373787307653115,0.002835685991042663,100,0.6875
0.99,1.0101010101,8,16,0.025,0.0175397633725774,0.001138119566484699,0.02371634986462064,0.002798058953971866,100,0.75
0.99,1.0101010101,6,32,0.025,0.02313190912975763,0.001269995748229059,0.02729201836662468,0.00247244905881398,100,0
