time,samples,odd_slope,odd_slope_stderr,even_slope,even_slope_stderr
3.9,4,-0.5807583167390644,0.2707171229889594,0.7975820266450794,0.2257478323537723
4,4,-0.5437238665487949,0.2518081907350483,0.775258320314662,0.2284894056274367
0,8,-0.9565283969804188,0,0.971458364508437,4.196248604251576e-17
0.1,8,-0.9543137116099867,4.196248604251576e-17,0.9691642633375077,8.392497208503151e-17
0.2,8,-0.9521332547556935,8.392497208503151e-17,0.9668817682157885,0
0.3,8,-0.9499979153333153,4.196248604251576e-17,0.9646222929759733,4.196248604251576e-17
0.4,8,-0.9478806067760112,4.196248604251576e-17,0.9624042473465353,4.196248604251576e-17
0.5,8,-0.9458183401887934,8.392497208503151e-17,0.9602304864614253,4.196248604251576e-17
0.6,8,-0.9438502267789664,8.392497208503151e-17,0.9581433658862621,4.196248604251576e-17
0.7,8,-0.9451233879282585,0.003121179888272706,0.959235824340791,0.003051169002710214
0.8,8,-0.9434391957523017,0.003137712212495382,0.9574273335501289,0.003059598779112743
0.9,8,-0.9419827718310668,0.003224413334769512,0.9557279971607872,0.003085995192779105
1,8,-0.9426713257266917,0.003671304205855745,0.957101748653558,0.004036696627361397
1.1,8,-0.9416374132950833,0.003968739585708768,0.9557317790466057,0.004209140517018287
1.2,8,-0.9408793187461196,0.004436618681707138,0.954640603923717,0.004471826011632531
1.3,8,-0.9405468064560139,0.005126827096520612,0.9538637583577778,0.004876101820238128
1.4,8,-0.9407682172536489,0.006138561131229119,0.9535691718307606,0.005589504586251074
1.5,8,-0.9414967209731075,0.00750954704367336,0.9536571461670116,0.006588209125137548
1.6,8,-0.942687701463897,0.009226695223777578,0.9540339498035807,0.007920428793361377
1.7,8,-0.9442609934336884,0.01123094685529765,0.9545877219649767,0.00963908057919988
1.8,8,-0.9555981520695555,0.01519772982370166,0.9581565758644461,0.01165151234209042
1.9,8,-0.9583516506271559,0.01754746902119217,0.9588892681972155,0.01407966324776728
2,8,-0.9615393417777069,0.0201233669649065,0.9595251867468882,0.01672481479957747
2.1,8,-0.9647931333325895,0.02268839457462486,0.9598257284956615,0.01946641488824304
2.2,8,-0.9675729484903631,0.02500579418504354,0.9596408794158815,0.02225749246644702
2.3,8,-0.9692317519532927,0.02688258827000806,0.9588010336999062,0.02502054813807616
2.4,8,-0.9694403765237722,0.02834082630370864,0.9570860740741934,0.027620118606756
2.5,8,-0.9680292676724476,0.02945093895178078,0.9543558645054938,0.02995069009219434
2.6,8,-0.9645919800248877,0.0301218095831704,0.9505311990632296,0.03206112311420113
2.7,8,-0.9586748436446075,0.030382708177056,0.9455629872249056,0.03417103321333945
2.8,8,-0.9550931949010827,0.03303802574361073,0.9425920518870556,0.03685586454716774
2.9,8,-0.8119910984079968,0.1358164029071665,0.8391155815661223,0.09563559486678222
3,8,-0.8593107912683793,0.1535905525078064,0.8257636741787006,0.09731811695471398
3.1,8,-0.8478487770170323,0.1570785479005669,0.8262964052092652,0.0995831102429468
3.2,8,-0.832560129757118,0.1618127113591258,0.8281550630444541,0.1016462480760726
3.3,8,-0.8154388436989388,0.1647366317754438,0.8305159947160313,0.1037747275535985
3.4,8,-0.7979015068856995,0.1644913048620135,0.8325952276083242,0.1061409163404414
3.5,8,-0.7801764547806384,0.1620351856065335,0.8336608292641012,0.1086937344365043
3.6,8,-0.6476040305651108,0.1797116155860824,0.7184660010846708,0.1472565509758329
